Languages,Total,Male,Female
          Blackfoot,2815,1325,1490
            Atikamekw,6150,3135,3015
            Montagnais (Innu),10230,4885,5350
            Moose Cree,100,50,55
            Naskapi,1205,590,620
            Northern East Cree,315,125,190
            Plains Cree,3065,1360,1710
            Southern East Cree,45,20,25
            Swampy Cree,1440,585,850
            Woods Cree,1840,865,975
            Cree; n.o.s.,64050,31305,32745
            Malecite,305,140,160
            Mi'kmaq,6690,3170,3520
            Algonquin,1260,590,670
            Ojibway,17890,8440,9450
            Oji-Cree,12855,6260,6595
            Ottawa (Odawa),150,65,85
          Algonquian languages; n.i.e.,45,25,20
            Babine (Wetsuwet'en),110,55,60
            Beaver,190,85,105
            Carrier,1025,465,565
            Chilcotin,660,295,360
            Dene,10700,5185,5515
            Dogrib (Tlicho),1645,840,815
            Gwich'in,260,110,145
            Sarsi (Sarcee),80,25,50
            Sekani,90,45,45
              North Slavey (Hare),765,365,400
              South Slavey,945,455,495
              Slavey; n.o.s.,280,130,150
              Kaska (Nahani),180,90,90
              Tahltan,95,40,50
              Northern Tutchone,215,90,135
              Southern Tutchone,70,30,40
          Athabaskan languages; n.i.e.,50,20,35
        Haida,75,35,40
          Inuinnaqtun (Inuvialuktun),1025,445,575
          Inuktitut,35215,17530,17680
          Inuit languages; n.i.e.,315,125,185
          Cayuga,45,20,20
          Mohawk,980,430,555
          Oneida,55,20,40
          Iroquoian languages; n.i.e.,35,15,20
        Kutenai,105,55,55
        Michif,465,230,235
          Comox,80,45,40
          Halkomelem,475,225,245
          Lillooet,315,155,155
          Okanagan,270,135,135
          Shuswap (Secwepemctsin),445,225,220
          Squamish,40,20,20
          Straits,80,40,40
          Thompson (Ntlakapamux),335,150,185
          Salish languages; n.i.e.,255,135,125
          Dakota,1215,570,635
          Stoney,3025,1465,1555
          Siouan languages; n.i.e.,55,30,25
        Tlingit,95,40,55
          Gitxsan (Gitksan),880,435,445
          Nisga'a,400,200,200
          Tsimshian,200,90,110
          Haisla,90,40,50
          Heiltsuk,95,40,55
          Kwakiutl (Kwak'wala),325,145,185
          Nuu-chah-nulth (Nootka),285,135,140
          Wakashan languages; n.i.e.,10,5,0
        Aboriginal languages; n.o.s.,585,295,295
