Languages,Total,Male,Female
            Cree; n.o.s.,64050,31305,32745
          Inuktitut,35215,17530,17680
            Ojibway,17890,8440,9450
            Oji-Cree,12855,6260,6595
            Dene,10700,5185,5515
            Montagnais (Innu),10230,4885,5350
            Mi'kmaq,6690,3170,3520
            Atikamekw,6150,3135,3015
            Plains Cree,3065,1360,1710
          Stoney,3025,1465,1555
          Blackfoot,2815,1325,1490
            Woods Cree,1840,865,975
            Dogrib (Tlicho),1645,840,815
            Swampy Cree,1440,585,850
            Algonquin,1260,590,670
          Dakota,1215,570,635
            Naskapi,1205,590,620
          Inuinnaqtun (Inuvialuktun),1025,445,575
            Carrier,1025,465,565
